date;SPXT;LT09TRUU;BCOMCOT;USDJPY;USGG3M;MOM
03/01/2000;2002,11;168,49;193,881;111,12;6,214;  0,87
04/01/2000;1925,41;167,85;194,23;111,16;6,202;  0,65
05/01/2000;1929,28;167,85;189,778;110,19;6,217;  0,56
06/01/2000;1931,51;167,3;193,728;110,53;6,162;  0,07
07/01/2000;1983,83;167,16;193,846;111,04;6,069;  0,04
10/01/2000;2006,07;167,04;193,874;110,79;6,083;  0,73
11/01/2000;1979,92;166,87;195,265;111,44;6,098;  0,28
12/01/2000;1971,36;167,16;192,81;112,27;6,058; -0,22
13/01/2000;1995,35;166,87;192,81;111,91;6,062; -0,73
14/01/2000;2016,64;167,15;192,924;112,58;6,089;  0,36
18/01/2000;2002,89;167,38;189,986;112,24;6,047; -0,06
19/01/2000;2004,02;166,74;186,246;112,41;6,046; -1,91
20/01/2000;1989,81;165,64;185,07;112,77;6,037; -0,49
21/01/2000;1984,01;166,44;181,729;112,27;5,958; -1,49
24/01/2000;1929,2;165,39;186,056;112,88;5,948;  0,59
25/01/2000;1940,9;165,89;192,22;112,95;5,785;  2,01
26/01/2000;1932,78;166,47;193,854;113,57;5,461; -1,17
27/01/2000;1925,31;166,13;196,326;114,14;5,261; -0,63
28/01/2000;1872,61;165,07;200,759;114,33;5,26;  0,22
31/01/2000;1919,84;164,82;207,399;114,41;5,758;  1,19
01/02/2000;1940,24;165,76;206,159;114,36;5,775;  1,38
02/02/2000;1940,21;165,21;206,953;114,36;5,889;  0,85
03/02/2000;1962,21;164,63;208,256;113,58;5,895;  1,76
04/02/2000;1961,44;164,93;206,229;115,55;5,884;  1,35
07/02/2000;1961,3;164,55;209,908;116,53;5,904; -1,26
08/02/2000;1985,49;164,49;206,291;116,16;5,66;  1,27
09/02/2000;1944,57;165,48;202,928;116,88;5,368; -0,94
10/02/2000;1951,65;165,41;202,874;116,43;5,116; -0,67
11/02/2000;1910,92;165,52;206,615;117,81;5,219; -1,61
14/02/2000;1914,88;165,49;209,705;118,55;5,286; -0,31
15/02/2000;1931,58;165,88;206,425;118,99;5,306;  1,26
16/02/2000;1912,12;165,72;209,855;117,72;5,305;  0,79
17/02/2000;1912,96;166,12;213,796;118,88;5,323;  0,95
18/02/2000;1854,85;166,26;212,026;118,14;5,353;  1,04
